Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Parent,Parent summary,Status Category,Status Category Changed
fix NPI1A BMU 5V dcb,CTET-4744,81633,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,22/Aug/24 9:28 AM,23/Aug/24 3:50 PM,28/Aug/24 2:50 PM,23/Aug/24 3:50 PM,,0,,,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2e74f10f,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077mu:r,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_109316201_*|*_10001_*:*_1_*:*_0,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,23/Aug/24 3:50 PM
fix NPI1B unit1,CTET-4743,81632,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,22/Aug/24 9:28 AM,26/Aug/24 9:21 AM,28/Aug/24 2:50 PM,26/Aug/24 9:21 AM,,0,,,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1f412ea6,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077mu:i,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_345179666_*|*_10001_*:*_1_*:*_0,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,26/Aug/24 9:21 AM
"modify pwrtalk - use HV to generate 24V instead of 12V, add cabinet switch control. Modify flyback test. Add battery over-voltage test.",CTET-4740,81629,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,22/Aug/24 9:25 AM,27/Aug/24 5:03 PM,28/Aug/24 2:50 PM,27/Aug/24 5:03 PM,,0,,,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7ee093a0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i0798x:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_459452203_*|*_10001_*:*_1_*:*_0,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,27/Aug/24 5:03 PM
shop clean up ,CTET-4738,81627,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,22/Aug/24 7:58 AM,27/Aug/24 1:37 PM,28/Aug/24 2:50 PM,27/Aug/24 1:37 PM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@569b6c46,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i0798h:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_85249415_*|*_10000_*:*_1_*:*_367078078_*|*_10001_*:*_1_*:*_0,,,,Done,27/Aug/24 1:37 PM
shop layout ,CTET-4737,81626,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,22/Aug/24 7:58 AM,26/Aug/24 1:56 PM,28/Aug/24 2:50 PM,26/Aug/24 1:56 PM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@565484f0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07989:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_367056088_*|*_10000_*:*_1_*:*_55781_*|*_10001_*:*_1_*:*_0,,,,Done,26/Aug/24 1:56 PM
Finish #2 burn in tester ,CTET-4736,81625,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,22/Aug/24 7:56 AM,23/Aug/24 8:11 AM,28/Aug/24 2:50 PM,23/Aug/24 8:11 AM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@656fabdd,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07981:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_87151493_*|*_10000_*:*_1_*:*_181896_*|*_10001_*:*_1_*:*_0,,,,Done,23/Aug/24 8:11 AM
Implement Manta Current Getters Through CAN,CTET-4735,81613,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,21/Aug/24 4:51 PM,23/Aug/24 10:13 AM,28/Aug/24 2:50 PM,23/Aug/24 10:13 AM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7109b431,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3007,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,,,,,,,,,,,,,,,,,,,,,,,2|i0795d:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_148952710_*|*_10001_*:*_1_*:*_0,,78308,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,Done,23/Aug/24 10:13 AM
Debug flash station penguin 2 celestica,CTET-4733,81605,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,21/Aug/24 3:03 PM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2ba56d48,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,,,,,,,,,,,,,,,,,,2|i0793t:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,78295,24-Q2-KR1.1: Update Flash Station Firmware,In Progress,21/Aug/24 3:04 PM
Save all tests steps from release testing,CTET-4732,81604,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,21/Aug/24 2:21 PM,28/Aug/24 12:35 PM,28/Aug/24 2:50 PM,28/Aug/24 12:35 PM,,0,,,,,Joe.Wardwell,,5e6aa6b89abcc30ce60ca4ef,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@280ca084,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i0792d:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_598420235_*|*_10001_*:*_1_*:*_0,,,,Done,28/Aug/24 12:35 PM
Update Process for Test System Utilization,CTET-4731,81603,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,21/Aug/24 2:18 PM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Joe.Wardwell,,5e6aa6b89abcc30ce60ca4ef,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@253a7f87,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07931:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,In Progress,28/Aug/24 12:35 PM
Execute and Implement all Loading Tests,CTET-4730,81602,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,21/Aug/24 2:17 PM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Joe.Wardwell,,5e6aa6b89abcc30ce60ca4ef,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c133de0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i07935:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,In Progress,28/Aug/24 12:35 PM
Spec out and Order New 8 chan / Yokogawa scope,CTET-4729,81601,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,21/Aug/24 2:17 PM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Joe.Wardwell,,5e6aa6b89abcc30ce60ca4ef,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7fb90503,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i0792x:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,In Progress,28/Aug/24 12:35 PM
Re-Run Can short / PWRview Tests,CTET-4728,81600,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,21/Aug/24 2:16 PM,28/Aug/24 12:34 PM,28/Aug/24 2:50 PM,28/Aug/24 12:34 PM,,0,,,,,Joe.Wardwell,,5e6aa6b89abcc30ce60ca4ef,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1933aece,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3010,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,,,,,,,,,,,,,,,,,,,,,,,2|i0752q:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_598722184_*|*_10001_*:*_1_*:*_0,,78311,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,Done,28/Aug/24 12:34 PM
Build Timeline / feature release for Voltron for this year,CTET-4727,81599,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,21/Aug/24 2:15 PM,28/Aug/24 12:35 PM,28/Aug/24 2:50 PM,28/Aug/24 12:35 PM,,0,,,,,Joe.Wardwell,,5e6aa6b89abcc30ce60ca4ef,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@78bcd14,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i076gl:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_598795779_*|*_10001_*:*_1_*:*_0,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,28/Aug/24 12:35 PM
Tech Justification Documentation,CTET-4726,81598,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,21/Aug/24 2:14 PM,28/Aug/24 12:34 PM,28/Aug/24 2:50 PM,28/Aug/24 12:34 PM,,0,,,,,Joe.Wardwell,,5e6aa6b89abcc30ce60ca4ef,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@41d50fe9,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07929:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_598822377_*|*_10001_*:*_1_*:*_0,,,,Done,28/Aug/24 12:34 PM
Re-Write Loading Tests for new plugin,CTET-4725,81597,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,21/Aug/24 2:13 PM,28/Aug/24 2:46 PM,28/Aug/24 2:50 PM,,,0,,,,,Joe.Wardwell,,5e6aa6b89abcc30ce60ca4ef,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@407b5bb6,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i07921:,,,,,,,,,,,,,,,,,,,,,CTET 82124,CTET 82824,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,To Do,21/Aug/24 2:13 PM
add coverage for BMU dcb comm 5V to confluence,CTET-4724,81596,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,21/Aug/24 1:54 PM,28/Aug/24 2:11 PM,28/Aug/24 2:50 PM,28/Aug/24 2:11 PM,,0,,,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2a9c1428,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077mu:m,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_605866305_*|*_10001_*:*_1_*:*_0,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,28/Aug/24 2:11 PM
BMU plugin release,CTET-4723,81588,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,21/Aug/24 10:18 AM,27/Aug/24 5:03 PM,28/Aug/24 2:50 PM,27/Aug/24 5:03 PM,,0,,,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@61306aa,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077mu:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_542697155_*|*_10001_*:*_1_*:*_0,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,27/Aug/24 5:03 PM
Training battery safety/ electrical,CTET-4721,81572,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,21/Aug/24 9:41 AM,26/Aug/24 12:10 PM,28/Aug/24 2:50 PM,26/Aug/24 12:10 PM,,0,,,,,Tanner Whipps,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4da788ca,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i078wp:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_2_*:*_267786887_*|*_10000_*:*_2_*:*_173113028_*|*_10001_*:*_1_*:*_0,,,,Done,26/Aug/24 12:10 PM
Organize Mechanical build area,CTET-4715,81566,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,21/Aug/24 8:57 AM,26/Aug/24 11:10 AM,28/Aug/24 2:50 PM,26/Aug/24 11:10 AM,,0,,,,,Dillon Dawson,,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1c8e31d1,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i078w1:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_440021245_*|*_10001_*:*_1_*:*_0,,,,Done,26/Aug/24 11:10 AM
